run 1 - 36 768 ParallelOldGC
21.572 7203623
31.604 60
41.371 63
55.827 957995
65.47 543264
74.725 312659
83.736 73
92.233 19
101.859 14
110.769 42
127.422 2771317
135.554 64
144.705 4112178
154.598 221431
162.767 70
172.07 43
180.107 53
191.43 69899
199.689 48
208.327 52
268.214 25350670
276.19 19
300.108 10421591
seconds 308
run 2 - 36 768 ParallelOldGC
12.004 32
20.153 6
27.703 48
48.312 10095080
58.439 29
68.808 6
81.783 6079327
98.584 943917
107.473 25
117.289 73
127.387 1783311
144.796 5093932
152.955 526441
161.501 1649
170.217 49
178.354 78
187.296 3
196.71 123460
210.864 4057135
223.202 3400169
231.245 48
250.004 8411074
260.595 254
seconds 270
run 3 - 36 768 ParallelOldGC
29.387 2536167
37.242 72
46.856 77284
66.623 117
138.959 36676379
154.844 12104906
164.787 1201
177.858 52
189.516 3376432
199.102 3016090
209.665 13
220.004 269
231.596 3546979
242.234 22
250.362 188
259.932 11
269.137 21
290.398 4328729
314.56 9686593
325.091 69
338.1 3153186
346.098 35
354.889 147
seconds 364
run 4 - 36 768 ParallelOldGC
15.357 4961175
24.499 800
33.698 36
44.256 2873834
54.403 3447735
96.134 16513962
124.567 15634880
142.609 31
151.054 5892
163.372 9656
172.425 1084455
180.778 17
188.882 51
197.104 35
206.512 629098
217.098 1209096
225.827 5
235.362 60
249.002 7507192
259.811 1137227
291.599 7809311
301.043 3486623
309.597 0
seconds 318
run 5 - 36 768 ParallelOldGC
13.38 404
22.039 42
30.789 48191
39.015 28642
47.263 59
55.388 32
63.436 18
71.41 451
79.404 48
87.658 39
98.037 64
106.641 5
114.548 24
122.331 680
130.792 593
139.682 42
152.83 452386
162.46 7865
170.931 1534
186.527 6976796
242.722 26319806
277.857 11422355
287.828 494943
seconds 297
run 6 - 36 768 ParallelOldGC
36.012 9835862
44.709 7
55.544 1421342
65.193 2387405
79.58 83
98.852 10160499
118.53 345912
131.433 238578
144.804 3198469
152.646 674520
211.392 26267505
250.052 21223236
257.296 205677
270.817 236881
279.484 46
297.151 82
305.202 71
314.752 46
326.775 583152
336.239 71
351.829 411987
361.908 1508618
371.184 91
seconds 387
run 7 - 36 768 ParallelOldGC
19.191 5735667
33.72 99634
42.143 67
50.221 1112
58.703 24377
67.496 52998
76.575 570287
86.182 17
94.394 459825
103.509 65
112.186 68
133.336 5971953
143.659 250346
154.399 43
170.651 5644842
182.937 296071
192.372 19
204.914 1468595
223.249 3871708
233.571 607
245.025 6478145
293.352 22552984
362.925 35853882
seconds 408
run 8 - 36 768 ParallelOldGC
15.968 1053652
24.168 78
34.565 141622
44.383 1354237
57.647 4792757
65.98 7
81.659 9403608
124.912 16452317
141.669 287080
151.605 593555
161.941 1019919
178.229 10981467
197.316 3062467
209.213 912
219.707 34
232.213 6287904
256.268 193
271.599 5614978
279.33 34
287.938 531
297.542 2786818
308.121 1921491
315.936 32
seconds 325
run 9 - 36 768 ParallelOldGC
10.484 2088347
22.941 997129
31.788 10
40.544 64
52.899 2211807
61.248 385837
70.494 9
79.391 287633
89.039 4842663
100.94 3589107
117.209 71
125.955 18
134.727 9435
143.548 28
154.466 466750
163.019 8
176.684 1530208
185.16 62
194.116 270480
202.771 40
211.114 38
220.143 21
229.771 3048300
seconds 239
run 10 - 36 768 ParallelOldGC
16.363 6206153
30.7 95
44.611 7707249
60.606 741373
68.77 17
77.747 330712
86.572 549
95.826 1254399
104.824 163
113.571 974
121.371 6075
129.796 53
137.815 4
146.065 42
154.271 629016
168.243 222
177.303 987133
186.927 3
195.913 1460358
205.966 60
214.262 5855
232.038 6871026
241.667 756144
seconds 253
run 11 - 36 768 ParallelOldGC
100.209 37666903
203.546 37748731
293.228 37748655
383.78 35555623
474.995 37748336
565.123 36916811
643.448 33522317
733.593 35649357
835.568 36183324
939.169 37748684
1041.78 37429487
1132.87 36912341
1223.16 37670758
1326.2 36762005
1417.34 36945091
1496.34 33051284
1609.92 37748704
1675.88 33168294
1751.38 34376991
1840.52 36351933
1931.49 34709455
2033.43 37380046
2124.25 37189038
seconds 2228
run 12 - 36 768 ParallelOldGC
14.06 851189
22.463 32748
36.673 3485785
44.887 41
52.851 45
62.829 211
72.102 25
80.661 109935
104.988 12797776
167.251 21693475
188.905 6258659
197.021 33
207.056 1721688
218.805 60
231.458 54
242.434 1045667
252.722 1071148
263.076 3042202
280.745 368
293.86 452729
303.941 832
314.382 158615
340.113 13962177
seconds 363
run 13 - 36 768 ParallelOldGC
19.041 6108487
65.182 21290935
118.623 23847097
161.946 23377470
225.892 26953143
268.557 22728023
323.625 28991769
374.684 25446762
438.214 29026185
496.012 23598754
541.666 26296914
579.348 18770313
613.76 19997518
656.046 21629765
699.911 25223932
738.294 18834369
777.784 18690174
810.094 22274579
853.962 20505894
882.982 18097456
963.664 33931468
1018.8 21400148
1030.13 396
seconds 1040
run 14 - 36 768 ParallelOldGC
29.065 6025339
106.544 32449010
193.352 37576463
295.36 37681482
372.416 33477498
434.484 31347782
499.913 34445117
536.411 21328946
562.276 8795748
585.215 4938884
605.49 8858313
629.404 7777567
644.326 5861477
652.642 1644
660.607 282
669.117 225
677.184 50
685.634 2200694
697.318 34
705.745 34
713.817 43
731.4 6093688
743.577 4311789
seconds 773
run 15 - 36 768 ParallelOldGC
15.44 440
24.642 65817
34.153 42
42.328 46
51.866 3228371
68.479 893216
85.576 2557726
93.096 129
104.916 35
116.893 2446518
138.666 6
147.33 521
157.666 2446
168.683 675503
178.114 34
188.28 28
196.963 784659
205.984 2051064
216.616 639
224.973 56
233.992 53
241.489 35
249.562 2411720
seconds 267
run 16 - 36 768 ParallelOldGC
20.54 8584023
43.942 12582533
52.148 125935
60.413 1665
